GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7737001260012 441040               BANDITAS BAND-AID TOY STORY BIL 25 UN                                  BAND-AID                       BAND AID BRAND ADHESIVE BANDAG 7891010938840     24 N     20180402T1445  A      
7737001260012 99414                CF COMPACT SIN PERFUME 60X20                                           CAREFREE                       SANPRO INTERMENSTRUAL          7790010994149     60 N     20120726T0951  A      
7737001260012 99415                CF LARGO 30X60                                                         CAREFREE                       SANPRO INTERMENSTRUAL          7790010994156     30 N     20120726T0951  A      
7737001260012 99451                BAÑO LIQUIDO GLICERINA 6X200                                           JOHNSON´S BABY                 BABY                           7891010005757     12 N     20130911T1522  A      
7737001260012 99482                SL SLINEA ABA D SENS AGE NAT 24X16UN                                   SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993777     24 N     20121012T1232  A      
7737001260012 99484                ABS SL SLINEA ABA DRY MAX A NAT 48X8UN                                 SIEMPRE LIBRE                  SANPRO EXTERNAL                7790010993791     48 N     20121012T1232  A      
7737001260012 99486                CAREFREE COMPACT SP 20 X 80                                            CAREFREE                       SANPRO INTERMENSTRUAL          7790010994866     20 N     20120726T0951  A      
7737001260012 99502                TOALLITAS DESM. NIGHT CALMING                                          NEUTROGENA                     BEAUTY                           70501053553     12 N     20160223T1907  A      
7737001260012 99565                SPLENDA TABLETAS 12X500                                                SPLENDA                        NUTRITIONALS                   9300607988154     12 N     20140925T1443  A      
7737001260012 99604                CF BRISA SIN PERFUME 30X60                                             CAREFREE                       SANPRO INTERMENSTRUAL          7790010994033     30 N     20121012T1232  A      
7737001260012 99716                J'S SOFT PIEL LLENA DE VIDA 12X200ML EXP                               JOHNSON´S                      BABY TOILETRIES                7891010997168     12 N     20121012T1232  A      
7737001260012 99717                J'S SOFT PIEL LLENA DE VIDA 12X400ML EX                                JOHNSON´S                      BABY TOILETRIES                7891010997175     12 N     20121012T1232  A      
7737001260012 99733                ROC RADIAN REJUVENA DAY 50 ML                                          ROC                            BEAUTY                         3574660635768    100 N     20120924T1516  A      
7737001260012 99734                ROC RADIAN REJUVENA DAY DRY 50 ML                                      ROC                            BEAUTY                         3574660635829    100 N     20120924T1516  A      
7737001260012 99736                ROC COMPLETE SCULPT DAY 50ML                                           ROC                            BEAUTY                         3574660678161      1 N     20140102T1147  A      
7737001260012 99737                ROC COMPLETE SCULPT NIGHT 50ML                                         ROC                            BEAUTY                         3574660678192      1 N     20140102T1147  A      
7737001260012 99738                ROC HYDRA+ ULTRA NOURISHING BALM                                       ROC                            BEAUTY                         3574660614343      1 N     20140102T1147  A      
7737001260012 99811                RAPID WRINKLE REPAIR EYE CREAM                                         NEUTROGENA                     BEAUTY                           70501021231     12 N     20121012T1232  A      
7737001260012 99812                SE RAPID WRNKL REPAIR NIGHT MOISTURZR                                  NEUTROGENA                     BEAUTY                           70501021224     12 N     20121012T1232  A      
7737001260012 99813                SSE RAPID WRNKL REPAIR MOISTRZR SPF30                                  NEUTROGENA                     BEAUTY                           70501021217     12 N     20121012T1232  A      
7737001260012 99817                J BABY ACOND SPRAY FRAG PROLONG 24X200                                 JOHNSON'S BABY                 BABY TOILETRIES                7702031998174     24 N     20121012T1232  A      
7737001260012 99864                SL NORMAL TRIPROTECT CON ALAS 48X8                                     SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010998646     48 N     20121012T1232  A      
7737001260012 99865                SL NORMAL TRIPROTECT CON ALAS 24X16                                    SIEMPRE LIBRE                  SANPRO EXTERNAL                7891010998653     24 N     20121012T1232  A      
